id,PG,SG,SF,PF,C,sum,label_name
Dennis Horner,0,0,0,1,0,1,Dennis Horner
Larry Owens,0,0,1,0,0,1,Larry Owens
Linas Kleiza,0,0,1,1,0,23,Linas Kleiza
Mike Harris,0,0,0,1,0,3,Mike Harris
Antawn Jamison,0,0,1,1,0,66,Antawn Jamison
Christian Eyenga,0,0,1,0,0,8,Christian Eyenga
Donald Sloan,1,1,0,0,0,26,Donald Sloan
Ersan Ilyasova,0,0,0,1,0,130,Ersan Ilyasova
Kosta Koufos,0,0,0,0,1,61,Kosta Koufos
Alonzo Gee,0,1,1,0,0,62,Alonzo Gee
Mychel Thompson,0,1,0,0,0,4,Mychel Thompson
Raja Bell,0,1,0,0,0,21,Raja Bell
Ben Uzoh,1,0,0,0,0,4,Ben Uzoh
Erick Dampier,0,0,0,0,1,5,Erick Dampier
Ivan Johnson,0,0,0,1,0,46,Ivan Johnson
Kelly Oubre Jr.,0,0,1,0,0,12,Kelly Oubre Jr.
Stanley Johnson,0,0,1,0,0,65,Stanley Johnson
Andre Emmett,0,1,1,0,0,3,Andre Emmett
Dahntay Jones,0,1,1,0,0,52,Dahntay Jones
Renaldo Balkman,0,0,1,1,0,7,Renaldo Balkman
Rodrigue Beaubois,1,0,0,0,0,19,Rodrigue Beaubois
Bobby Simmons,0,1,1,1,0,3,Bobby Simmons
Jeff Foote,0,0,0,0,1,1,Jeff Foote
Jodie Meeks,0,1,0,0,0,87,Jodie Meeks
T.J. Ford,1,0,0,0,0,6,T.J. Ford
Greg Stiemsma,0,0,0,0,1,56,Greg Stiemsma
Hasheem Thabeet,0,0,0,0,1,35,Hasheem Thabeet
James Johnson,0,0,1,1,0,30,James Johnson
